topic,term,beta
10,school,0.0014707435886437198
1,seedlings,1.5831202402207626e-29
2,seedlings,2.6874164506050078e-45
3,seedlings,5.685079923514129e-53
4,seedlings,2.4310408436535295e-21
5,seedlings,6.689589211976058e-285
6,seedlings,5.799398531535062e-73
7,seedlings,5.640032778604758e-4
8,seedlings,1.2074849913969972e-28
9,seedlings,4.0241282882186677e-73
10,seedlings,2.4419353148801607e-74
1,selling,0.0013789821698298214
2,selling,0.0013091670356210425
3,selling,0.007339943335486063
4,selling,0.0071556133482410245
5,selling,0.006580536073900476
6,selling,0.006703751236531315
7,selling,0.00297711501882545
8,selling,0.006584555043366014
9,selling,0.008660837768462692
10,selling,0.002407394352189175
1,staff,4.985176214387576e-4
2,staff,5.842361636253353e-4
3,staff,4.3842046743324134e-5
4,staff,4.192045554756847e-4
5,staff,4.271852124366783e-12
6,staff,1.6158589218543963e-4
7,staff,0.001017714372825106
8,staff,5.37108025175499e-5
9,staff,1.0087035779846529e-34
10,staff,7.06198382582577e-85
1,started,4.995083053276629e-5
2,started,6.082381230613918e-48
3,started,0.004424678214224741
4,started,0.009883556889086246
5,started,0.007129729611951707
6,started,6.191297867142743e-4
7,started,0.004512523261968562
8,started,0.007173788377013865
9,started,0.007727600888913423
10,started,0.0017860164814793768
1,takes,0.004189150753799032
2,takes,1.90197101059596e-38
3,takes,1.1339158019301573e-11
4,takes,7.455341227113593e-4
5,takes,5.061208861112423e-4
6,takes,3.365824698441442e-4
7,takes,6.723952906200786e-4
8,takes,0.0010733882884937037
9,takes,4.0606048898230926e-4
10,takes,2.8293571257402664e-4
1,tea,8.426061173745208e-18
2,tea,5.808259983586379e-51
3,tea,6.165886742024096e-50
4,tea,3.7598107246202966e-19
5,tea,3.733972757268998e-62
6,tea,1.3707757288427769e-15
7,tea,0.001723690246014344
8,tea,1.375132104526612e-4
9,tea,1.8065419074045121e-31
10,tea,2.2295264095619532e-40
1,teaching,2.286329053962358e-4
2,teaching,1.8454195249839018e-40
3,teaching,7.337676301361951e-5
4,teaching,3.229045727375313e-20
5,teaching,2.2912681305666578e-7
6,teaching,1.5829638106955607e-6
7,teaching,2.0196378120533433e-4
8,teaching,6.9335904616202975e-6
9,teaching,7.450301852202066e-5
10,teaching,3.230441902063862e-4
1,training,8.353755941179596e-5
2,training,0.002306440524692438
3,training,7.184984377865107e-44
4,training,7.353048971339338e-7
5,training,0.011015800978971441
6,training,0.0028136283595520915
7,training,0.0018435412531081575
8,training,0.0030706695559869616
9,training,5.235615531752587e-35
10,training,1.1841866657101001e-16
1,vegetables,1.3912133671862182e-7
2,vegetables,1.9265986570142183e-6
3,vegetables,0.0024905924500443727
