id,username,timestamp,link,tweet,retweets,likes
"247404651106955264","JoeBiden","2012-09-17 00:10","https://twitter.com/JoeBiden/status/247404651106955264","Dr. Biden: “That means talking to all the women in your lives—ask them who they trust to stand up for women & to keep expanding our rights.”",53,14
"247402188677197824","JoeBiden","2012-09-17 00:00","https://twitter.com/JoeBiden/status/247402188677197824","Dr. Biden in Pittsburgh: “We’ve got to realize how far we’ve come—and we’ve got to do our part to keep moving forward.” # Women2012",64,12
"247399626007773184","JoeBiden","2012-09-16 23:50","https://twitter.com/JoeBiden/status/247399626007773184","“For women of my generation, we know we can’t go back and refight those same battles that we fought years or decades ago.”—Dr. Biden",76,20
"247397151716556801","JoeBiden","2012-09-16 23:40","https://twitter.com/JoeBiden/status/247397151716556801","“Now insurance companies will no longer be able to charge us more for our coverage just because we’re women.”—Dr. Biden in PA",61,10
"247394794194759680","JoeBiden","2012-09-16 23:31","https://twitter.com/JoeBiden/status/247394794194759680","Dr. B: “The President has appointed more women to cabinet-level positions & more women to the federal bench in his 1st term than anyone.”",92,14
"247392090097582080","JoeBiden","2012-09-16 23:20","https://twitter.com/JoeBiden/status/247392090097582080","“It’s no surprise that the very first bill the President signed helped make it easier for women to earn the same pay as men.”—Dr. Biden",91,17
"247389534667542528","JoeBiden","2012-09-16 23:10","https://twitter.com/JoeBiden/status/247389534667542528","Dr. Biden on VP Biden: “He always says his proudest accomplishment was pushing for and passing the Violence Against Women Act.”",74,15
"247387050557444096","JoeBiden","2012-09-16 23:00","https://twitter.com/JoeBiden/status/247387050557444096","Dr. Jill Biden: “Barack is the son of a single mother who worked hard to pay the bills.”",55,13
"247384044030005248","JoeBiden","2012-09-16 22:48","https://twitter.com/JoeBiden/status/247384044030005248","“I’ve seen firsthand how Barack and Joe stand up for the rights and freedoms of women every day.”—Dr. Biden in Pittsburgh, PA",50,16
"247364015905447937","JoeBiden","2012-09-16 21:29","https://twitter.com/JoeBiden/status/247364015905447937","“I’m in love with a teacher”:pic.twitter.com/LpuLBtnD",135,100
"247090088142569472","JoeBiden","2012-09-16 03:20","https://twitter.com/JoeBiden/status/247090088142569472","Dr. Jill Biden: “At the end of the day, it’s not Barack or Joe alone that are going to move this country forward. It’s you.”",118,38
"247087527121547265","JoeBiden","2012-09-16 03:10","https://twitter.com/JoeBiden/status/247087527121547265","“I know that our President and Vice President are fighting for the values that have always made our country so great.” # DrBiden2012",42,19
"247085104244088832","JoeBiden","2012-09-16 03:00","https://twitter.com/JoeBiden/status/247085104244088832","“He’s directed his entire administration to make the needs of military families a priority.”—Dr. Biden on President Obama",45,16
"247082492694253568","JoeBiden","2012-09-16 02:50","https://twitter.com/JoeBiden/status/247082492694253568","Dr. Jill Biden on President Obama: “He implemented and expanded the G.I. Bill and signed tax cuts for businesses who hire veterans.”",51,16
"247080011134300160","JoeBiden","2012-09-16 02:40","https://twitter.com/JoeBiden/status/247080011134300160","“They’re making smart investments to raise standards for teaching and learning in our public schools.”—Dr. Biden on POTUS & VPOTUS",26,6
